"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62"
"97",-0.778605082498739,0.287735885212779,-0.0400648489618757,0.0597734050770868,-0.0498954252876185,0.0860165133711634,-0.0335203297560284,-0.690669977961604,0.8878010360258,-0.16842531212371,-0.166489975196952,0.17385690809991,-0.264724421165975,0.372422288369698,0.412803780095456,-0.0826042153955887,-0.264063645193638,-0.310628019672784,-0.395866913273579,-0.244195354120175,0.168794115972144,0.290986379171625,0.0419541856422446,0.34682220452764,0.132565441624893,0.138266962431385,-0.0573822457663178,-0.0966277707516624,-0.285704826726891,0.223251379113237,0.127878986993314,0.214824136811934,0.250192267877878,-0.306804977292332,0.14029538288461,-0.246733891225883,-0.184390794096373,0.166400767077855,-0.160323476107268,-0.322539289304527,0.334232445395305,0.166760033258347,1.05545510888581,0.25629463231417,-0.262547335777922,0.00631207302561629,-0.416604128433294,-0.472847986258862,0.143586067463533,-0.523928971792455,-0.269085544354823,-0.0813611651052568,-0.270555863348983,0.284285165848477,-0.157045605630353,0.428465687297116,-0.299414466647419,0.158338892407172,0.117245172559232,1.94951858441739,-0.249870497815422,0.395498759978296
"398",-0.853159958175963,0.000410084972583824,0.121233110370674,0.0127084833930282,-0.119934941015981,0.11652070663607,0.0981569462757438,-0.352260936712186,0.587096999818931,-0.273715086553972,-0.070370924238648,0.517713679565193,-0.0249224443141886,0.283686640123074,0.321608899917448,-0.054455486130676,-0.289636788487989,-0.392671471850577,-0.424509887979667,-0.216119314011428,0.0991695291297372,0.196844213959483,0.0293282781272907,0.414232586578817,0.160181120521693,0.255598414694388,-0.0864399585470289,-0.0134941904732279,-0.335114646947754,0.319829145912664,-0.078550932672413,0.194220446380987,0.240823240688827,-0.456242878522641,0.0847328445808419,-0.212235369709886,-0.267018145377281,0.282543865150342,-0.285559655489372,-0.442392449154832,0.316251914157973,0.229801594939529,1.07221851081146,0.343293309660522,-0.366602847708078,-0.0387001127037703,-0.456588131176308,-0.217775092748271,-0.0271272457471358,-0.559684138696706,-0.322000374415476,-0.223353019576787,-0.284449913062456,0.34510138118341,-0.394357070903395,0.184581794956859,-0.266485584254281,-0.0152421607775176,0.285230898193185,1.99101480460916,0.0923772151381146,0.293000851248117
"91",-1.04861310365155,0.2464881609377,0.106965239028525,0.0719468475803723,-0.158056144815051,-0.0400555606063395,0.0158061073672009,-0.416560435064373,0.610258377567988,-0.236463410141797,-0.111431691571107,0.282395700131201,-0.259307496870146,0.299980151315169,0.387237058971823,-0.102095873789712,-0.327952201279183,-0.322812273988536,-0.339771136013479,-0.173123709685577,0.0272504413488025,0.177432097705614,-0.0814148834692698,0.270217259541156,0.176871805897759,0.158416438012714,0.0136751171008089,-0.0632116710476265,-0.349818535459615,0.347423045300154,0.00269442316602383,0.298707489967258,0.161476254690735,-0.160654700606641,0.207197451801291,-0.225089799697158,-0.118421034236767,0.375580068791495,0.0323767646631053,-0.293108094384768,0.302992371871326,0.206600198719386,1.28129905114123,0.227273823562549,-0.31999658253791,-0.206536978416404,-0.483085227994362,-0.312600841139046,0.059044552342778,-0.341553118926773,-0.325890394681013,-0.330915677875166,-0.295186856433917,0.236602077355389,-0.301125559912665,0.351975982795083,-0.167633426709486,0.074705280359659,0.304210059425815,1.86136593192373,-0.0747371258574063,0.374148529311424
"369",-1.09113039179159,0.185971034584707,0.110157891263264,0.00585558774785315,-0.115148668982926,0.000204218197505423,-0.0331141172517354,-0.448556137757915,0.497382743406328,-0.286691343032381,-0.123759499582693,0.374634044849968,-0.221760608638063,0.335628732968337,0.337965678952006,-0.0642910417615535,-0.300975115136514,-0.303532832866446,-0.285281275896471,-0.135366426696829,0.103105758084391,0.159896846675856,-0.124758066168859,0.339588439574004,0.108989608104152,0.10984977404974,0.0576324127605966,-0.0296994864940219,-0.408796674743609,0.357141719621155,-0.02291514176954,0.212378975564562,0.0464776558806961,-0.258183248681655,0.12359235305002,-0.208390045485697,-0.070420385788553,0.48942015643626,0.0400021925131594,-0.204243738969073,0.317244244325808,0.281736094425359,1.30134505032565,0.160999684462269,-0.246869022782771,-0.109946380458232,-0.536006548921009,-0.301526791006484,0.0117400106945214,-0.333193086985067,-0.208383880548052,-0.347778978281967,-0.316508776038203,0.22976734880158,-0.360057525463092,0.337832772097517,-0.128878762908308,0.0850522698365333,0.337982894619678,1.99010893891564,-0.0669527639598073,0.41861778280033
